time_launch,filtered_altitude,unfiltered_altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,gyro_x_rate,gyro_y_rate,gyro_z_rate,max_altitude,apogee_counter,event#,error_flag 
7991,-0.8905329,-1.285797,995.8308,-1,0.7744141, -0.1303711, 0.6767578, 0.1998438, -0.3010936, 0.06421876,80.81176,5,4,30
8072,-2.179886,-3.469238,995.9097,-1,0.7729492, -0.1289063, 0.6757813, 0.2310938, -0.3167186, 0.01734376,80.81176,5,4,30
8149,-1.732841,-1.285797,995.8308,-1,0.7734375, -0.1298828, 0.6757813, 0.2467188, -0.2698436, 0.04859376,80.81176,5,4,30
8234,-2.055187,-2.377533,995.8702,10.8201,0.7729492, -0.1289063, 0.6762695, 0.1685938, -0.2385936, 0.07984376,80.81176,5,4,30
8314,-2.069052,-2.082916,995.8596,10.8201,0.7739258, -0.1313477, 0.6743164, 0.1998438, -0.2385936, 0.09546876,80.81176,5,4,30
8398,-1.820384,-1.571716,995.8413,-1,0.7739258, -0.1313477, 0.6733398, 0.1529688, -0.3010936, 0.04859376,80.81176,5,4,30
8531,-2.79212,-3.763855,995.9203,-1,0.7724609, -0.1303711, 0.6748047, 0.2310938, -0.2385936, 0.06421876,80.81176,5,4,30
8594,-1.233157,0.3258057,995.7727,10.82928,0.7744141, -0.1303711, 0.6767578, 0.1842188, -0.2698436, 0.06421876,80.81176,5,4,30
8655,-2.351198,-3.469238,995.9097,-1,0.7734375, -0.1298828, 0.675293, 0.1998438, -0.2385936, 0.04859376,80.81176,5,4,30
8718,-1.268296,-0.1853943,995.7913,-1,0.7739258, -0.1308594, 0.6743164, 0.2310938, -0.2385936, 0.07984376,80.81176,5,4,30
8889,-0.7268452,-0.1853943,995.7913,-1,0.7724609, -0.1293945, 0.675293, 0.2623438, -0.2385936, 0.09546876,80.81176,5,4,30
8952,-1.985401,-3.243958,995.9019,-1,0.7744141, -0.1298828, 0.6743164, 0.1842188, -0.2542186, 0.01734376,80.81176,5,4,30
9016,-0.8297978,0.3258057,995.7727,-1,0.7734375, -0.1298828, 0.675293, 0.2467188, -0.2385936, 0.06421876,80.81176,5,4,30
9080,-1.495358,-2.160919,995.8624,-1,0.7724609, -0.1289063, 0.6757813, 0.1998438, -0.2698436, 0.04859376,80.81176,5,4,30
9143,-2.079405,-2.663452,995.8808,-1,0.7739258, -0.1308594, 0.6767578, 0.1998438, -0.2385936, 0.01734376,80.81176,5,4,30
9211,-1.96852,-1.857635,995.8517,-1,0.7744141, -0.1303711, 0.6748047, 0.2310938, -0.3167186, 0.09546876,80.81176,5,4,30
9281,-0.2754894,1.417542,995.7333,10.82928,0.7729492, -0.1308594, 0.6757813, 0.2310938, -0.2698436, 0.1267188,80.81176,5,4,30
9352,-1.61243,-2.949371,995.8912,10.83387,0.7724609, -0.1293945, 0.6762695, 0.1842188, -0.2698436, 0.06421876,80.81176,5,4,30
9425,-1.449114,-1.285797,995.8308,-1,0.7734375, -0.1293945, 0.675293, 0.1685938, -0.2542186, 0.09546876,80.81176,5,4,30
9495,-1.367455,-1.285797,995.8308,-1,0.7724609, -0.128418, 0.6748047, 0.1685938, -0.2542186, 0.06421876,80.81176,5,4,30
9673,-1.105679,-0.8439026,995.8151,10.84765,0.7729492, -0.1308594, 0.6733398, 0.2154688, -0.2542186, 0.1267188,80.81176,5,4,30
9743,-1.230391,-1.355103,995.8334,10.84765,0.7739258, -0.1289063, 0.6757813, 0.1998438, -0.2542186, 0.04859376,80.81176,5,4,30
9815,-1.838615,-2.446838,995.8729,10.83846,0.7744141, -0.1303711, 0.675293, 0.2310938, -0.2698436, 0.07984376,80.81176,5,4,30
9890,-2.688594,-3.538574,995.9123,10.84765,0.7724609, -0.1298828, 0.6757813, 0.1685938, -0.3010936, 0.1110938,80.81176,5,4,30
9962,-2.862303,-3.036011,995.894,10.84306,0.7734375, -0.1303711, 0.6767578, 0.1998438, -0.2385936, 0.04859376,80.81176,5,4,30
10033,-1.562835,-0.2633667,995.7939,-1,0.7724609, -0.1289063, 0.6743164, 0.2310938, -0.2542186, 0.04859376,80.81176,5,4,30
10108,-2.840957,-4.11908,995.9334,10.84765,0.7739258, -0.1303711, 0.6762695, 0.1998438, -0.2542186, 0.07984376,80.81176,5,4,30
10181,-2.500938,-2.160919,995.8624,-1,0.7753906, -0.1293945, 0.675293, 0.1842188, -0.2698436, 0.06421876,80.81176,5,4,30
10258,-1.382152,-0.2633667,995.7939,-1,0.7749023, -0.1298828, 0.6748047, 0.2310938, -0.2854686, 0.07984376,80.81176,5,4,30
10335,-1.914495,-2.446838,995.8729,-1,0.7714844, -0.1313477, 0.6748047, 0.1998438, -0.2542186, 0.09546876,80.81176,5,4,30
10528,-2.323627,-2.732758,995.8833,-1,0.7729492, -0.1303711, 0.6762695, 0.1685938, -0.2698436, 0.06421876,80.81176,5,4,30
10607,-1.696405,-1.069183,995.823,10.84765,0.7744141, -0.1298828, 0.6757813, 0.1842188, -0.2698436, 0.04859376,80.81176,5,4,30
10686,-1.77702,-1.857635,995.8517,-1,0.7739258, -0.128418, 0.6762695, 0.1685938, -0.2385936, 0.07984376,80.81176,5,4,30
10766,-3.20365,-4.63028,995.9518,-1,0.7734375, -0.1293945, 0.6748047, 0.1685938, -0.2854686, 0.09546876,80.81176,5,4,30
10844,-2.530643,-1.857635,995.8517,-1,0.7729492, -0.1318359, 0.6757813, 0.1842188, -0.1917186, 0.09546876,80.81176,5,4,30
10923,-2.345781,-2.160919,995.8624,-1,0.7739258, -0.1274414, 0.6738281, 0.1685938, -0.2073436, 0.06421876,80.81176,5,4,30
11005,-3.345071,-4.34436,995.9413,10.83846,0.7739258, -0.1313477, 0.6743164, 0.1842188, -0.2385936, 0.09546876,80.81176,5,4,30
11086,-3.844716,-4.34436,995.9413,-1,0.7744141, -0.128418, 0.675293, 0.2310938, -0.2698436, 0.09546876,80.81176,5,4,30
11168,-2.742869,-1.641022,995.8438,-1,0.7739258, -0.1318359, 0.6748047, 0.2310938, -0.2698436, 0.04859376,80.81176,5,4,30
11299,-2.594853,-2.446838,995.8729,10.83387,0.7744141, -0.1293945, 0.6762695, 0.1998438, -0.2854686, 0.04859376,80.81176,5,4,30
11467,-3.469607,-4.34436,995.9413,-1,0.7739258, -0.1293945, 0.6748047, 0.1373438, -0.2385936, 0.1267188,80.81176,5,4,30
11528,-2.412355,-1.355103,995.8334,-1,0.7724609, -0.1308594, 0.6743164, 0.2310938, -0.2698436, 0.09546876,80.81176,5,4,30
