time,temperature,pressure,altitude,errorLog
341833,-1,1016.226,0.3517838,0
341842,-1,1016.276,-0.9825516,0
341853,21.76096,1016.225,0.3864441,0
341862,-1,1016.245,-0.1680832,0
341873,21.76554,1016.397,-4.292397,0
341882,-1,1016.225,0.3864441,0
341893,21.75638,1016.407,-4.569664,0
341903,-1,1016.195,1.218239,0
341913,-1,1016.225,0.3864441,0
341923,-1,1016.174,1.772766,0
341933,-1,1016.265,-0.7052841,0
341943,-1,1016.284,-1.242485,0
341953,-1,1016.144,2.587227,0
341963,-1,1016.195,1.218239,0
341974,21.77012,1016.205,0.9409714,0
341985,21.77012,1016.184,1.495499,0
341994,-1,1016.225,0.3864441,0
342005,21.75638,1016.235,0.1091766,0
342016,-1,1016.265,-0.7052841,0
342025,-1,1016.123,3.159088,0
342035,-1,1016.225,0.3864441,0
342044,-1,1016.184,1.495499,0
342054,-1,1016.265,-0.7052841,0
342064,-1,1016.174,1.772766,0
342075,-1,1016.174,1.772766,0
342084,-1,1016.225,0.3864441,0
342095,-1,1016.305,-1.814346,0
342106,-1,1016.195,1.218239,0
342116,-1,1016.195,1.218239,0
342125,-1,1016.225,0.3864441,0
342135,-1,1016.265,-0.7052841,0
342145,-1,1016.335,-2.628807,0
342155,-1,1016.225,0.3864441,0
342165,-1,1016.265,-0.7052841,0
342175,-1,1016.184,1.495499,0
342186,21.77012,1016.356,-3.183342,0
342197,-1,1016.276,-0.9825516,0
342206,-1,1016.225,0.3864441,0
342216,-1,1016.326,-2.368874,0
342226,-1,1016.225,0.3864441,0
342236,-1,1016.225,0.3864441,0
342246,-1,1016.225,0.3864441,0
342257,21.76096,1016.346,-2.906075,0
342267,-1,1016.235,0.1091766,0
342277,-1,1016.225,0.3864441,0
342287,-1,1016.265,-0.7052841,0
342297,-1,1016.225,0.3864441,0
342307,-1,1016.265,-0.7052841,0
342317,-1,1016.225,0.3864441,0
342327,-1,1016.235,0.1091766,0
342338,21.76096,1016.326,-2.368874,0
342347,-1,1016.265,-0.7052841,0
342357,-1,1016.346,-2.906075,0
342367,-1,1016.204,0.9582977,0
342379,21.77012,1016.326,-2.368874,0
342389,-1,1016.326,-2.368874,0
342399,-1,1016.305,-1.814346,0
342409,-1,1016.316,-2.091606,0
342419,-1,1016.225,0.3864441,0
342428,-1,1016.326,-2.368874,0
342438,-1,1016.245,-0.1680832,0
342448,-1,1016.386,-4.015129,0
342458,-1,1016.184,1.495499,0
342470,21.76096,1016.225,0.3864441,0
342479,-1,1016.245,-0.1680832,0
342491,-1,1016.225,0.3864441,0
342500,-1,1016.214,0.6810379,0
342510,-1,1016.205,0.9409714,0
342521,-1,1016.204,0.9582977,0
342531,-1,1016.144,2.587227,0
342540,-1,1016.407,-4.569664,0
342550,-1,1016.316,-2.091606,0
342560,-1,1016.225,0.3864441,0
342570,-1,1016.235,0.1091766,0
342580,-1,1016.245,-0.1680832,0
342590,-1,1016.265,-0.7052841,0
342601,21.76096,1016.276,-0.9825516,0
342611,-1,1016.346,-2.906075,0
342621,-1,1016.305,-1.814346,0
342632,21.76096,1016.214,0.6810379,0
342642,-1,1016.255,-0.4280243,0
342651,-1,1016.163,2.06736,0
342661,-1,1016.265,-0.7052841,0
342672,21.76096,1016.386,-4.015129,0
342681,-1,1016.225,0.3864441,0
342691,-1,1016.265,-0.7052841,0
342701,-1,1016.235,0.1091766,0
342711,-1,1016.305,-1.814346,0
342721,-1,1016.305,-1.814346,0
342732,21.76096,1016.326,-2.368874,0
342742,-1,1016.235,0.1091766,0
342752,-1,1016.265,-0.7052841,0
342762,-1,1016.144,2.587227,0
342773,21.76096,1016.184,1.495499,0
342784,-1,1016.204,0.9582977,0
342794,-1,1016.265,-0.7052841,0
342804,-1,1016.305,-1.814346,0
342814,-1,1016.386,-4.015129,0
342823,-1,1016.367,-3.477928,0
342833,-1,1016.184,1.495499,0
342843,-1,1016.225,0.3864441,0
342853,-1,1016.346,-2.906075,0
342864,21.76554,1016.184,1.495499,0
342874,-1,1016.144,2.587227,0
342884,-1,1016.245,-0.1680832,0
342895,-1,1016.245,-0.1680832,0
342904,-1,1016.245,-0.1680832,0
342913,-1,1016.184,1.495499,0
342923,-1,1016.316,-2.091606,0
342934,21.76554,1016.235,0.1091766,0
342944,-1,1016.245,-0.1680832,0
342955,-1,1016.205,0.9409714,0
342965,-1,1016.326,-2.368874,0
342975,-1,1016.235,0.1091766,0
342984,-1,1016.265,-0.7052841,0
342995,21.76096,1016.276,-0.9825516,0
343005,-1,1016.225,0.3864441,0
343016,21.7747,1016.235,0.1091766,0
343026,-1,1016.346,-2.906075,0
343036,-1,1016.144,2.587227,0
343045,-1,1016.214,0.6810379,0
343055,-1,1016.316,-2.091606,0
343065,-1,1016.286,-1.277145,0
343076,21.76096,1016.184,1.495499,0
343086,-1,1016.245,-0.1680832,0
343096,-1,1016.245,-0.1680832,0
343106,-1,1016.154,2.309967,0
343116,-1,1016.184,1.495499,0
343126,21.77012,1016.286,-1.277145,0
343136,-1,1016.235,0.1091766,0
343146,-1,1016.165,2.0327,0
343158,-1,1016.397,-4.292397,0
343168,-1,1016.245,-0.1680832,0
343178,-1,1016.245,-0.1680832,0
343188,-1,1016.286,-1.277145,0
343198,-1,1016.245,-0.1680832,0
343207,-1,1016.256,-0.462677,0
343227,-1,1016.245,-0.1680832,0
343237,-1,1016.286,-1.277145,0
343247,-1,1016.347,-2.940735,0
343258,-1,1016.165,2.0327,0
343268,-1,1016.154,2.309967,0
343277,-1,1016.245,-0.1680832,0
343288,21.76554,1016.225,0.3864441,0
343299,-1,1016.367,-3.477928,0
343310,-1,1016.195,1.218239,0
343319,-1,1016.165,2.0327,0
343328,-1,1016.184,1.495499,0
343338,-1,1016.367,-3.477928,0
343348,-1,1016.316,-2.091606,0
343358,-1,1016.266,-0.7399445,0
343368,-1,1016.407,-4.569664,0
343379,21.76096,1016.307,-1.831673,0
343389,-1,1016.225,0.3864441,0
343399,-1,1016.205,0.9409714,0
343410,21.77012,1016.245,-0.1680832,0
343420,-1,1016.205,0.9409714,0
343430,-1,1016.266,-0.7399445,0
343439,-1,1016.245,-0.1680832,0
343450,-1,1016.286,-1.277145,0
343460,-1,1016.165,2.0327,0
343470,-1,1016.286,-1.277145,0
343479,-1,1016.165,2.0327,0
